id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;telephone;siteweb;email;observation;position;rup_mi;maj_time
751P00085568;00085568;"";751P;1988-04-15;0001-01-01;D;S;INDIGO;dvpt et dmocratisation de la musique;006030;000000;"";10        BD  Brune;"";75014;PARIS;75114;PM;"";"";"";W751085568;R;"";2013-07-10 07:33:24
751P00184848;00184848;"";751P;2008-01-18;2008-02-23;D;S;COMITE DE GESTION RUE PINEL;la gestion des locaux et des services ncessaires aux buts des antennes et a l'exercice des activits de ses membres, conformment a la convention qui sera agree par l'association et l'association philosophique;006000;000000;"";9         RUE Pinel;"";75013;PARIS;75113;PM;"";"";"";W751184848;R;"";2013-07-16 07:30:17
751P00188854;00188854;"";751P;2008-11-10;0001-01-01;D;S;HELP MEDIA;proposer aux personnes actives et non actives une aide effective pour aider a la prise en main d'un nouveau materiel (micro ordinateur logiciels) et former aux logiciels de loisirs (photos vido) ainsi que la c;007000;005000;"";4         RUE Gt le coeur;"";75006;PARIS;75106;PM;"";"";"";W751188854;R;"";2013-09-23 09:55:18
